,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
105770,0.757,2009,0.1369999999999999,"[""Girls' Generation""]",0.76,230547,0.843,0,7m48u7EC4gnCfAhwoLfbCE,2.19e-06,9,0.7,-2.632,1,Genie,3,2009-06-25,0.103,122.988
64529,0.389,1957,0.964,['Jim Hall'],0.544,345800,0.0686,0,4utc7KltF9zphXjxsJihTM,0.905,7,0.0894,-17.414,1,9:20 Special,1,1957-02-22,0.0713,80.84100000000002
114491,0.7190000000000001,1937,0.98,['G. Krishnaswami Iyengar'],0.368,190640,0.224,0,5nmEdcTRAxEOtdMKTCnQe5,0.341,5,0.348,-13.062,1,Muyyige Muyyi,0,1937-01-01,0.0764,81.539
31813,0.477,1998,0.0182,['Plastilina Mosh'],0.787,262613,0.606,0,12Q3hN5YwbjZ0jkcHmuABo,0.000328,11,0.342,-9.522,0,Mr. P-Mosh,3,1998-06-30,0.195,94.631
117292,0.7390000000000001,1956,0.705,['Bob Dorough'],0.5720000000000001,260027,0.392,0,30Jq2rqJvWbKDkjzMVC2H8,0.000748,8,0.172,-14.017,1,You're the Dangerous Type - 2012 Remastered Version,0,1956-10-01,0.052,112.317
129601,0.271,2000,0.586,['Fernando Ortega'],0.5489999999999999,251973,0.197,0,5WSUVpSF97wTZX9mkLWau3,0.000235,1,0.154,-9.686,1,Give Me Jesus,3,2000-03-01,0.0321,84.02799999999998
164132,0.826,1973,0.7290000000000001,['The Spinners'],0.382,249733,0.727,0,5i0urffBRKl09GSX2Jhdeh,0.0,9,0.196,-6.6770000000000005,0,Could It Be I'm Falling in Love,3,1973,0.0861,207.265
78614,0.119,1951,0.985,"['Giuseppe Verdi', 'Manno Wolf-Ferrari']",0.266,250400,0.195,0,0OrrIbMukRdQhPDbh7m4LY,0.000262,4,0.0593,-15.103,1,"Verdi : I Lombardi alla Prima Crociata : Act 3 ""Qual voluttà trascorrere"" [Oronte, Giselda, Eremita]",0,1951,0.0396,94.792
123929,0.166,1998,0.168,['George Michael'],0.394,275333,0.274,0,4ZCaO5I6XdIHb0X2UwNDtZ,8.55e-06,5,0.105,-14.314,1,Kissing a Fool,3,1998-11-09,0.031,116.801
17209,0.414,2019,0.505,['YNW Melly'],0.76,221419,0.568,1,0rhxoXFMKRtm1dQJfi72Yh,0.0,9,0.107,-3.92,1,No Heart,3,2019-01-18,0.0558,77.482
57902,0.242,2014,0.0105,"['SMO', 'Alexander King']",0.7,214467,0.647,0,4fkUsaC0dJfHp5N1kIrZlr,0.0,2,0.251,-6.497000000000001,1,Workin' (feat. Alexander King),3,2014-06-03,0.0483,86.01299999999998
85783,0.463,2010,0.183,"['Justin Bieber', 'Jessica Jarrell']",0.479,251187,0.7879999999999999,0,1tzkJMX3gNjnpcHdLD0pM3,0.0,5,0.146,-5.2120000000000015,1,Overboard,3,2010-01-01,0.0542,173.963
30991,0.84,1952,0.931,['Hesen Zîrek'],0.428,315664,0.595,0,0ZgZuTpTmDI1K4Q1wfzxus,3.53e-05,0,0.953,-8.009,1,Kîjan Deçne Mêrgolan,0,1952-01-09,0.0478,126.354
135970,0.961,1985,0.0843,['Eddy Raven'],0.838,185880,0.54,0,3FQbGnwJhmRjL3GWKl9rPz,6.72e-06,9,0.0515,-13.028,1,"Operator, Operator",1,1985-05-01,0.0347,117.653
9333,0.7609999999999999,2008,0.413,"['Sergio Vega ""El Shaka""']",0.82,211747,0.6,0,1pJMMnem25kCij6sF62hut,2.94e-06,10,0.147,-5.323,1,El Jefe De Las Plazas,2,2008-07-21,0.0512,95.813
73530,0.564,1958,0.986,"['Franz Joseph Haydn', 'Glenn Gould']",0.384,285880,0.181,0,0wBVZ2Q1vtWB3Ht7qUOz4v,0.846,3,0.208,-21.938,1,"Keyboard Sonata No. 59 in E-Flat Major, Hob. XVI:49: I. Allegro",0,1958,0.0575,148.204
90207,0.21,1956,0.924,['LaVern Baker'],0.458,179213,0.198,0,0t9ZyMHi2RcoiVGILpxK9M,0.0,9,0.101,-9.138,0,You'll Be Crying,0,1956,0.044,173.669
165725,0.238,2019,0.205,['Sonic Riviera'],0.77,159000,0.5660000000000001,0,5iB2EkNr3VWka0WLXkIgzd,0.0,3,0.0856,-6.4510000000000005,1,Here with Me,0,2019-12-13,0.0373,99.969
151225,0.334,2006,0.197,['Marc Anthony'],0.603,305427,0.624,0,1UhC65P18YWD02sW0GiyMl,0.0,4,0.0992,-6.982,0,Ahora Quien,3,2006-06-30,0.0305,130.004
3620,0.428,2012,0.19,['Imagine Dragons'],0.505,175200,0.71,0,1Ntj0hZfncXCQ5hij7igIE,0.00025,3,0.329,-3.015,1,Demons,3,2012-09-04,0.0321,89.93799999999996
697,0.282,1994,0.933,['Bobby Chen'],0.507,334160,0.0859,0,2VPFVcHgvSx25qHfj7bU4K,1.14e-06,0,0.121,-14.291,1,不再讓你孤單,2,1994-04-26,0.0342,130.388
164752,0.479,1999,0.000223,['Alice DJ'],0.5760000000000001,212493,0.828,0,2es5efbIHrLOLcdmBmpoiR,0.8220000000000001,0,0.35,-8.883,1,Back in My Life,3,1999,0.0327,137.968
53697,0.6,2006,0.00202,['Albert Hammond Jr'],0.468,212680,0.715,0,1Jte640nBiOWyuD7N0odNZ,0.733,4,0.087,-3.1010000000000004,0,In Transit,2,2006,0.0558,141.01
75118,0.7929999999999999,1944,0.964,['Lester Young'],0.394,176360,0.4270000000000001,0,3XjauSiKLRvzi8MRNqyMc6,0.918,5,0.0881,-9.902,0,Circus In Rhythm - Take 1,0,1944-01-01,0.0843,209.588
48454,0.631,2004,0.00109,['The Casualties'],0.436,185893,0.992,0,23iUxIgf73ZNGPdywRpSse,0.0622,10,0.084,-3.637,1,Unknown Soldier,2,2004-02-17,0.0376,99.035
108174,0.758,1927,0.994,['Francisco Canaro'],0.752,186813,0.156,0,1dPKXfSnwahh0hgNe5yUDj,0.933,7,0.11,-16.553,0,Ya Llegará tu Día - Instrumental (Remasterizado),0,1927-09-17,0.102,114.373
169356,0.299,1987,0.00471,['King Diamond'],0.244,459440,0.722,0,6aRMcwfGZoQnqLWO1RbQcd,0.239,1,0.11,-12.798,0,Black Horsemen,1,1987,0.0462,139.42700000000002
114574,0.4970000000000001,1963,0.961,['Davy Graham'],0.475,147067,0.0703,0,6jXd3IhCFUJxDJ0wEtk010,0.8909999999999999,0,0.13,-22.699,0,Angi,1,1963,0.0465,153.597
3422,0.667,2018,0.238,['The Neighbourhood'],0.7,167960,0.82,0,0YNtAadZvKBBEFARtfoCV8,0.318,5,0.6579999999999999,-5.499,0,Compass,3,2018-11-02,0.0329,109.998
71264,0.605,1969,0.932,['Canned Heat'],0.628,169560,0.356,0,6MmEhuhrGUoMgfOzwqMyn5,0.000615,10,0.116,-12.470999999999998,1,Goin' Up The Country,1,1969-01-01,0.0386,80.211
139433,0.815,2005,0.101,"['Leo Kottke', 'Mike Gordon']",0.479,332427,0.534,0,3fsoiPJOP9e1yST9HFZ7Ww,0.627,1,0.0703,-9.565,1,Sweet Emotion,2,2005-06-01,0.0794,90.725
154991,0.6409999999999999,2009,0.123,"['Alejandro Sanz', 'Alicia Keys']",0.5710000000000001,270627,0.5870000000000001,0,02f5iKhfXVvCWK641es1sT,0.0,0,0.0847,-6.269,1,Looking for Paradise (feat. Alicia Keys),3,2009-11-10,0.0505,88.945
88414,0.927,1928,0.994,"['Francisco Canaro', 'Charlo']",0.868,185507,0.263,0,0mKcM1nZ8yPOM9txL9Vl8o,0.283,2,0.13,-8.367,1,Clemencia - Remasterizado,0,1928-09-25,0.131,116.046
71707,0.0577,1955,0.988,"['César Franck', 'David Oistrakh', 'Vladimir Yampolsky']",0.253,377693,0.113,0,4fJMnstvrRDxmRT9ueBNY4,0.0119,9,0.104,-21.472,1,"Franck: Violin Sonata in A Major, FWV 8: I. Allegretto ben moderato",0,1955-01-01,0.0412,101.426
51809,0.691,1999,0.1639999999999999,['Days Of The New'],0.677,311760,0.772,0,3bAjnpL6oy1g4EmdKzMu2W,0.155,11,0.151,-7.37,0,Enemy,2,1999-01-01,0.03,117.161
108145,0.564,1940,0.4970000000000001,['Эрнест Хемингуэй'],0.652,108000,0.112,1,4iZZpdaDCFTSRi9xiEYy8A,0.0,11,0.556,-20.248,0,Часть 161.3 - По ком звонит колокол,0,1940,0.965,78.968
14197,0.8290000000000001,1981,0.529,['Marty Balin'],0.7190000000000001,258773,0.551,0,150LOyOS0ISsZ9IcwPf6iT,9.05e-06,0,0.139,-9.124,1,Hearts,3,1981-01-01,0.0324,123.444
89941,0.659,2012,0.0923,"['Josh Abbott Band', 'Pat Green']",0.516,191120,0.765,0,0K2R5ECfzYqSyBLHXywRo5,2.1e-06,2,0.16,-5.822,1,My Texas (feat. Pat Green),3,2012-04-24,0.043,170.043
20903,0.8,1942,0.986,"['Francisco Canaro', 'Carlos Roldán']",0.611,181440,0.172,0,0izK51FLNbg7iSwtjiR4aK,0.6940000000000001,6,0.0613,-10.595999999999998,1,Sencillo y Compadre - Remasterizado,0,1942-03-08,0.0687,125.971
2747,0.8809999999999999,2009,0.272,['Aventura'],0.75,222387,0.472,0,6Ezrvk64WB6scceSL3lDjp,0.0,5,0.263,-9.705,0,Tu Jueguito,3,2009-06-09,0.042,120.505
98760,0.422,2005,0.00845,['Paramore'],0.333,201340,0.931,0,2f6wopjc38goVUV087wvln,1.71e-06,4,0.122,-3.645,1,Whoa,2,2005-07-26,0.14,194.817
16781,0.181,1962,0.919,['Elvis Presley'],0.205,101467,0.233,0,4HmnS6eakkalRigvHtJIiR,0.921,3,0.113,-16.135,1,I Feel That I've Known You Forever,1,1962-06-05,0.034,169.37599999999995
22459,0.2,2010,0.274,['Mr Twin Sister'],0.6629999999999999,240493,0.444,0,5kxinzQqkSJhL7QDdvkDFM,0.659,11,0.388,-11.214,0,Meet the Frownies,3,2010-09-21,0.0338,122.974
70049,0.926,1991,0.0206,['Fishmans'],0.8059999999999999,343093,0.444,0,7aG7NGR2grcbcFdpKM25um,0.0605,11,0.223,-13.525,1,Hikkurikaetteta Futari,1,1991-05-21,0.0677,142.80100000000004
76074,0.389,1942,0.953,['Stan Kenton'],0.619,147827,0.43,0,5YLSLEcN9SvrTev8zIWYue,0.909,1,0.328,-8.824,1,Reed Rapture,0,1942-01-01,0.0474,81.277
130095,0.7979999999999999,1947,0.949,['Rewa Shankar'],0.56,150837,0.5529999999999999,0,4KbHt6LjKYtoMMf0JMH2R3,0.0,11,0.952,-8.531,0,Main Tumko Kaise Kahoon Bhagwan,0,1947-12-31,0.304,91.907
17695,0.626,2005,0.227,['Masta Ace'],0.7290000000000001,253307,0.705,1,23RJg00mFONjIqYML6mtsE,0.0,11,0.109,-7.27,0,Acknowledge,2,2005-02-15,0.396,91.582
73582,0.935,1965,0.376,['Chet Atkins'],0.622,121760,0.649,0,5aoOOQTID971UWfPd6ZHQD,0.627,0,0.0613,-11.499,1,Yakety Axe,1,1965-12-17,0.0334,119.192
164726,0.43,1930,0.995,['Τομ Βρουνάς τρίο'],0.423,225733,0.334,0,4oKP92zgm7VbYTsaUseP90,0.31,0,0.184,-11.337,0,Ζεϊμπέκικο,0,1930-01-01,0.0507,142.92600000000004
57258,0.8270000000000001,2015,0.197,['San Holo'],0.747,266483,0.491,0,7uSZPbd8DxdkmSauCKnITY,1.77e-05,6,0.0837,-6.0429999999999975,1,We Rise,3,2015-02-23,0.0639,145.034
108816,0.871,1962,0.752,['The Everly Brothers'],0.624,139640,0.358,0,3NUXLtK8UGdD8TvZ12b4dD,0.0,1,0.0593,-13.199000000000002,1,Walk Right Back,3,1962-06-01,0.0342,135.797
